라운드,소속,상대팀,LB 이름,LB 선호발,LB 정발 여부,RB 이름,RB 선호발,RB 정발 여부,CB1 이름,CB1 선호발,CB1 정발 여부,CB2 이름,CB2 선호발,CB2 정발 여부
5R,수원,강원(H),박대원,right,정발x,장호익,,정발x,불투이스,left,정발,고명석,right,정발
6R,수원,울산(A),박대원,right,정발x,정승원,,정발x,불투이스,left,정발,고명석,right,정발
7R,수원,제주(H),이기제,left,정발,정승원,,정발x,불투이스,left,정발,고명석,right,정발
10R,수원,대구(H),이기제,left,정발,장호익,,정발x,불투이스,left,정발,고명석,right,정발
11R,수원,인천(A),이기제,left,정발,김태환,right,정발,박대원,right,정발x,한호강,right,정발
12R,수원,전북(H),이기제,left,정발,장호익,,정발x,불투이스,left,정발,박대원,right,정발x
13R,수원,강원(A),이기제,left,정발,장호익,,정발x,박대원,right,정발x,한호강,right,정발
16R,수원,수원FC(H),이기제,left,정발,장호익,,정발x,박대원,right,정발x,한호강,right,정발
17R,수원,광주(A),이기제,left,정발,장호익,,정발x,박대원,right,정발x,한호강,right,정발
18R,수원,인천(H),이기제,left,정발,고명석,right,정발,박대원,right,정발x,한호강,right,정발
21R,수원,대전(A),이기제,left,정발,장호익,,정발x,고명석,right,정발x,김주원,right,정발
26R,수원,전북(A),김태환,right,정발x,장호익,,정발x,한호강,right,정발x,김주원,right,정발
27R,수원,제주(H),이기제,left,정발,한호강,right,정발,박대원,right,정발x,김주원,right,정발
28R,수원,광주(A),이기제,left,정발,한호강,right,정발,박대원,right,정발x,김주원,right,정발
31R,수원,대전(A),이기제,left,정발,이규석,right,정발,박대원,right,정발x,김주원,right,정발
32R,수원,인천(A),이기제,left,정발,김태환,right,정발,불투이스,left,정발,고명석,right,정발
33R,수원,포항(H),박대원,right,정발x,김태환,right,정발,불투이스,left,정발,한호강,right,정발
34R,수원,제주(A),박대원,right,정발x,김태환,right,정발,불투이스,left,정발,한호강,right,정발
35R,수원,대전(H),김태환,right,정발x,손호준,right,정발x,김주원,right,정발x,한호강,right,정발
36R,수원,수원FC(A),김태환,right,정발x,박대원,right,정발x,손호준,right,정발x,김주원,right,정발
37R,수원,서울(A),김태환,right,정발x,손호준,right,정발x,김주원,right,정발x,한호강,right,정발
38R,수원,강원(H),김태환,right,정발x,손호준,right,정발x,김주원,right,정발x,한호강,right,정발
1R,포항,대구(H),박승욱,right,정발x,하창래,right,정발x,박찬용,right,정발x,심상민,left,정발x
2R,포항,수원FC(A),박승욱,right,정발x,박찬용,right,정발x,하창래,right,정발x,심상민,left,정발x
3R,포항,대전(A),박승욱,right,정발x,하창래,right,정발x,박찬용,right,정발x,심상민,left,정발x
4R,포항,강원(H),박건우,right,정발x,박승욱,right,정발,심상민,left,정발,박찬용,right,정발x
5R,포항,전북(A),그랜트,,정발x,신광훈,right,정발,박승욱,right,정발x,심상민,left,정발x
6R,포항,광주(H),하창래,right,정발x,그랜트,,정발x,심상민,left,정발,박승욱,right,정발
7R,포항,서울(H),박승욱,right,정발x,하창래,right,정발x,그랜트,,정발x,심상민,left,정발x
8R,포항,울산(A),박승욱,right,정발x,하창래,right,정발x,그랜트,,정발x,심상민,left,정발x
9R,포항,수원(H),심상민,left,정발,그랜트,,정발x,하창래,right,정발x,박승욱,right,정발
10R,포항,인천(H),심상민,left,정발,하창래,right,정발x,그랜트,,정발x,김용환,,정발x
11R,포항,제주(A),심상민,left,정발,하창래,right,정발x,김용환,,정발x,그랜트,,정발x
12R,포항,대구(A),김용환,,정발x,박찬용,right,정발x,그랜트,,정발x,심상민,left,정발x
13R,포항,대전(H),그랜트,,정발x,박찬용,right,정발x,심상민,left,정발,김용환,,정발x
14R,포항,강원(A),신광훈,right,정발x,박찬용,right,정발x,심상민,left,정발,그랜트,,정발x
15R,포항,전북(H),박승욱,right,정발x,하창래,right,정발x,심상민,left,정발,그랜트,,정발x
16R,포항,광주(A),그랜트,,정발x,박승욱,right,정발,심상민,left,정발,하창래,right,정발x
17R,포항,제주(H),박찬용,right,정발x,그랜트,,정발x,박승욱,right,정발x,완델손,,정발x
18R,포항,서울(A),완델손,,정발x,그랜트,,정발x,박승욱,right,정발x,하창래,right,정발x
19R,포항,인천(A),하창래,right,정발x,완델손,,정발x,그랜트,,정발x,박승욱,right,정발
20R,포항,수원FC(H),완델손,,정발x,박승욱,right,정발,그랜트,,정발x,박찬용,right,정발x
21R,포항,울산(H),하창래,right,정발x,그랜트,,정발x,완델손,,정발x,박승욱,right,정발
22R,포항,수원(A),완델손,,정발x,하창래,right,정발x,그랜트,,정발x,박승욱,right,정발
23R,포항,제주(H),박찬용,right,정발x,완델손,,정발x,그랜트,,정발x,박승욱,right,정발
24R,포항,전북(H),박승욱,right,정발x,그랜트,,정발x,완델손,,정발x,박찬용,right,정발x
25R,포항,서울(A),그랜트,,정발x,완델손,,정발x,하창래,right,정발x,박승욱,right,정발
26R,포항,광주(H),하창래,right,정발x,그랜트,,정발x,완델손,,정발x,박승욱,right,정발
27R,포항,대전(H),그랜트,,정발x,박승욱,right,정발,박찬용,right,정발x,완델손,,정발x
28R,포항,강원(A),박찬용,right,정발x,완델손,,정발x,하창래,right,정발x,박승욱,right,정발
29R,포항,인천(A),완델손,,정발x,하창래,right,정발x,그랜트,,정발x,박승욱,right,정발
30R,포항,수원FC(H),완델손,,정발x,하창래,right,정발x,신광훈,right,정발x,그랜트,,정발x
31R,포항,대구(A),완델손,,정발x,박승욱,right,정발,박찬용,right,정발x,그랜트,,정발x
32R,포항,울산(H),신광훈,right,정발x,하창래,right,정발x,그랜트,,정발x,완델손,,정발x
33R,포항,수원(A),하창래,right,정발x,박찬용,right,정발x,신광훈,right,정발x,박승욱,right,정발
34R,포항,인천(H),하창래,right,정발x,박찬용,right,정발x,박승욱,right,정발x,신광훈,right,정발
35R,포항,전북(A),김용환,,정발x,그랜트,,정발x,박찬용,right,정발x,심상민,left,정발x
36R,포항,울산(A),그랜트,,정발x,박승욱,right,정발,신광훈,right,정발x,하창래,right,정발x
37R,포항,대구(H),심상민,left,정발,하창래,right,정발x,박찬용,right,정발x,박승욱,right,정발
38R,포항,광주(A),심상민,left,정발,하창래,right,정발x,신광훈,right,정발x,그랜트,,정발x
26R,제주,수원FC(H),정운,left,정발,임창우,right,정발,임채민,right,정발x,연제운,right,정발
27R,제주,수원(A),정운,left,정발,임창우,right,정발,임채민,right,정발x,김오규,,정발x
28R,제주,대구(A),이주용,left,정발,임창우,right,정발,임채민,right,정발x,김오규,,정발x
29R,제주,전북(H),이주용,left,정발,김오규,,정발x,송주훈,left,정발,임채민,right,정발
31R,제주,서울(H),이주용,left,정발,안태현,right,정발,연제운,right,정발x,임채민,right,정발
32R,제주,광주(H),김오규,,정발x,이주용,left,정발x,연제운,right,정발x,임채민,right,정발
33R,제주,대전(A),이주용,left,정발,김오규,,정발x,송주훈,left,정발,연제운,right,정발
34R,제주,수원(H),정운,left,정발,이기혁,,정발x,연제운,right,정발x,임채민,right,정발
35R,제주,강원(A),정운,left,정발,김오규,,정발x,송주훈,left,정발,연제운,right,정발
36R,제주,서울(H),정운,left,정발,임창우,right,정발,송주훈,left,정발,임채민,right,정발
37R,제주,대전(H),정운,left,정발,임창우,right,정발,송주훈,left,정발,임채민,right,정발
38R,제주,수원FC(A),이주용,left,정발,안태현,right,정발,임채민,right,정발x,김오규,,정발x
1R,전북,울산(A),김진수,left,정발,김문환,right,정발,박진섭,right,정발x,홍정호,right,정발
2R,전북,수원(H),김진수,left,정발,김문환,right,정발,박진섭,right,정발x,홍정호,right,정발
3R,전북,광주(H),김진수,left,정발,김문환,right,정발,홍정호,right,정발x,정태욱,right,정발
4R,전북,대구(A),김진수,left,정발,김문환,right,정발,홍정호,right,정발x,정태욱,right,정발
5R,전북,포항(H),정우재,right,정발x,김문환,right,정발,박진섭,right,정발x,정태욱,right,정발
12R,전북,수원(A),맹성웅,right,정발x,구자룡,right,정발,김건웅,right,정발x,정태욱,right,정발
13R,전북,인천(A),맹성웅,right,정발x,최철순,right,정발,구자룡,right,정발x,정태욱,right,정발
14R,전북,수원FC(H),김진수,left,정발,김문환,right,정발,구자룡,right,정발x,정태욱,right,정발
15R,전북,포항(A),김진수,left,정발,김문환,right,정발,구자룡,right,정발x,정태욱,right,정발
16R,전북,울산(H),김진수,left,정발,정우재,right,정발,구자룡,right,정발x,정태욱,right,정발
17R,전북,대구(H),김진수,left,정발,정우재,right,정발,정태욱,right,정발x,구자룡,right,정발
18R,전북,강원(A),김진수,left,정발,구자룡,right,정발,박진섭,right,정발x,정태욱,right,정발
19R,전북,광주(A),최철순,right,정발x,,,,정태욱,right,정발x,구자룡,right,정발
20R,전북,제주(H),김문환,right,정발x,정우재,right,정발,구자룡,right,정발x,정태욱,right,정발
21R,전북,서울(H),정우재,right,정발x,김문환,right,정발,구자룡,right,정발x,정태욱,right,정발
22R,전북,대전(A),정우재,right,정발x,최철순,right,정발,구자룡,right,정발x,정태욱,right,정발
23R,전북,수원FC(H),정우재,right,정발x,최철순,right,정발,구자룡,right,정발x,정태욱,right,정발
24R,전북,포항(A),최철순,right,정발x,구자룡,right,정발,홍정호,right,정발x,정태욱,right,정발
25R,전북,인천(H),정우재,right,정발x,최철순,right,정발,홍정호,right,정발x,페트라섹,right,정발
26R,전북,수원(H),정우재,right,정발x,안현범,right,정발,홍정호,right,정발x,정태욱,right,정발
27R,전북,울산(A),김진수,left,정발,정우재,right,정발,페트라섹,right,정발x,정태욱,right,정발
28R,전북,대전(H),김진수,left,정발,정우재,right,정발,홍정호,right,정발x,페트라섹,right,정발
29R,전북,제주(A),정우재,right,정발x,안현범,right,정발,홍정호,right,정발x,정태욱,right,정발
30R,전북,강원(H),김진수,left,정발,최철순,right,정발,홍정호,right,정발x,정태욱,right,정발
31R,전북,광주(A),김진수,left,정발,구자룡,right,정발,홍정호,right,정발x,정태욱,right,정발
33R,전북,서울(A),김진수,left,정발,정우재,right,정발,구자룡,right,정발x,정태욱,right,정발
34R,전북,대구(A),김진수,left,정발,정우재,right,정발,박진섭,right,정발x,정태욱,right,정발
35R,전북,포항(H),김진수,left,정발,정우재,right,정발,박진섭,right,정발x,구자룡,right,정발
36R,전북,인천(A),김진수,left,정발,최철순,right,정발,박진섭,right,정발x,홍정호,right,정발
37R,전북,광주(H),김진수,left,정발,안현범,right,정발,홍정호,right,정발x,정태욱,right,정발
38R,전북,울산(A),정우재,right,정발x,안현범,right,정발,홍정호,right,정발x,정태욱,right,정발
1R,서울,인천(H),이태석,left,정발,김진야,right,정발,오스마르,left,정발,김주성,left,정발x
2R,서울,광주(A),이태석,left,정발,김진야,right,정발,김주성,left,정발,오스마르,left,정발x
3R,서울,울산(H),이태석,left,정발,김진야,right,정발,김주성,left,정발,오스마르,left,정발x
4R,서울,제주(A),이태석,left,정발,김진야,right,정발,오스마르,left,정발,김주성,left,정발x
5R,서울,대전(A),이태석,left,정발,김진야,right,정발,김주성,left,정발,오스마르,left,정발x
6R,서울,대구(H),이태석,left,정발,김진야,right,정발,김주성,left,정발,권완규,right,정발
7R,서울,포항(A),이태석,left,정발,김진야,right,정발,김주성,left,정발,권완규,right,정발
9R,서울,강원(A),박수일,right,정발x,김진야,right,정발,김주성,left,정발,권완규,right,정발
10R,서울,수원FC(A),이태석,left,정발,김진야,right,정발,김주성,left,정발,이한범,right,정발
15R,서울,강원(H),이태석,left,정발,박수일,right,정발,김주성,left,정발,이한범,right,정발
17R,서울,인천(A),이태석,left,정발,박수일,right,정발,김주성,left,정발,이한범,right,정발
18R,서울,포항(H),이태석,left,정발,박수일,right,정발,김주성,left,정발,이한범,right,정발
19R,서울,수원(A),이태석,left,정발,박수일,right,정발,김주성,left,정발,이한범,right,정발
20R,서울,대전(H),이태석,left,정발,박수일,right,정발,김주성,left,정발,이한범,right,정발
22R,서울,수원FC(H),박수일,right,정발x,김진야,right,정발,김주성,left,정발,오스마르,left,정발x
23R,서울,강원(A),박수일,right,정발x,김진야,right,정발,김주성,left,정발,이한범,right,정발
24R,서울,인천(H),이태석,left,정발,박수일,right,정발,김주성,left,정발,이한범,right,정발
25R,서울,포항(H),김진야,right,정발x,박수일,right,정발,김주성,left,정발,이한범,right,정발
26R,서울,대전(A),이태석,left,정발,박수일,right,정발,김주성,left,정발,이한범,right,정발
27R,서울,대구(H),이태석,left,정발,박수일,right,정발,김주성,left,정발,이한범,right,정발
28R,서울,울산(H),이태석,left,정발,박수일,right,정발,김주성,left,정발,오스마르,left,정발x
31R,서울,제주(A),이태석,left,정발,박수일,right,정발,김주성,left,정발,오스마르,left,정발x
32R,서울,수원FC(A),이태석,left,정발,박수일,right,정발,김주성,left,정발,오스마르,left,정발x
33R,서울,전북(H),이태석,left,정발,박수일,right,정발,김주성,left,정발,오스마르,left,정발x
34R,서울,강원(H),이시영,right,정발x,박수일,right,정발,김주성,left,정발,오스마르,left,정발x
35R,서울,수원FC(A),이시영,right,정발x,박수일,right,정발,김주성,left,정발,오스마르,left,정발x
36R,서울,제주(A),이시영,right,정발x,박수일,right,정발,오스마르,left,정발,황현수,right,정발
38R,서울,대전(A),박수일,right,정발x,김경민,,정발x,김주성,left,정발,박성훈,,정발x
1R,대전,강원(H),안톤,left,정발,오재석,right,정발,조유민,right,정발x,김민덕,right,정발
2R,대전,인천(A),안톤,left,정발,오재석,right,정발,조유민,right,정발x,김민덕,right,정발
3R,대전,포항(H),안톤,left,정발,오재석,right,정발,조유민,right,정발x,김민덕,right,정발
4R,대전,수원(A),안톤,left,정발,오재석,right,정발,조유민,right,정발x,김민덕,right,정발
5R,대전,서울(H),안톤,left,정발,오재석,right,정발,조유민,right,정발x,김민덕,right,정발
6R,대전,수원FC(A),안톤,left,정발,오재석,right,정발,조유민,right,정발x,김민덕,right,정발
7R,대전,울산(H),김현우,right,정발x,오재석,right,정발,조유민,right,정발x,김민덕,right,정발
8R,대전,대구(A),오재석,right,정발x,김민덕,right,정발,조유민,right,정발x,변준수,right,정발x
23R,대전,인천(A),강윤성,,정발x,오재석,right,정발,안톤,left,정발,김현우,right,정발x
26R,대전,서울(H),오재석,right,정발x,강윤성,,정발x,김현우,right,정발x,안톤,left,정발x
27R,대전,포항(A),오재석,right,정발x,강윤성,,정발x,김현우,right,정발x,안톤,left,정발x
31R,대전,수원(H),서영재,left,정발,이현식,,정발x,안톤,left,정발,김민덕,right,정발
32R,대전,강원(A),서영재,left,정발,이현식,,정발x,안톤,left,정발,김민덕,right,정발
33R,대전,제주(H),서영재,left,정발,이현식,,정발x,안톤,left,정발,김민덕,right,정발
34R,대전,수원FC(H),서영재,left,정발,이현식,,정발x,김현우,right,정발x,조유민,right,정발
35R,대전,수원(A),강윤성,,정발x,오재석,right,정발,안톤,left,정발,조유민,right,정발
36R,대전,강원(H),서영재,left,정발,이현식,,정발x,안톤,left,정발,조유민,right,정발
23R,강원,서울(H),윤석영,left,정발,김우석,,정발x,김영빈,right,정발x,강투지,right,정발
24R,강원,수원(H),김우석,,정발x,강투지,right,정발,류광현,left,정발,김영빈,right,정발x
25R,강원,제주(A),김영빈,right,정발x,류광현,left,정발x,강투지,right,정발x,강지훈,,정발x
26R,강원,울산(H),류광현,left,정발,강지훈,,정발x,강투지,right,정발x,김영빈,right,정발x
27R,강원,수원FC(H),김영빈,right,정발x,류광현,left,정발x,강투지,right,정발x,강지훈,,정발x
28R,강원,포항(H),김영빈,right,정발x,강지훈,,정발x,강투지,right,정발x,류광현,left,정발x
29R,강원,대구(A),김우석,,정발x,류광현,left,정발x,강투지,right,정발x,김영빈,right,정발x
30R,강원,전북(A),김영빈,right,정발x,류광현,left,정발x,강지훈,,정발x,이지솔,right,정발
31R,강원,인천(H),김영빈,right,정발x,이지솔,right,정발,강지훈,,정발x,류광현,left,정발x
32R,강원,대전(H),강투지,right,정발x,김영빈,right,정발x,류광현,left,정발,강지훈,,정발x
33R,강원,광주(A),강투지,right,정발x,류광현,left,정발x,김영빈,right,정발x,강지훈,,정발x
34R,강원,서울(A),황문기,,정발x,윤석영,left,정발x,이지솔,right,정발x,김영빈,right,정발x
35R,강원,제주(H),강투지,right,정발x,김영빈,right,정발x,황문기,,정발x,윤석영,left,정발x
36R,강원,대전(A),황문기,,정발x,윤석영,left,정발x,김영빈,right,정발x,강투지,right,정발
37R,강원,수원FC(H),황문기,,정발x,김영빈,right,정발x,강투지,right,정발x,윤석영,left,정발x
38R,강원,수원(A),윤석영,left,정발,강투지,right,정발,황문기,,정발x,김영빈,right,정발x
1R,광주,수원(A),이민기,right,정발x,두현석,right,정발x,안영규,right,정발x,티모,right,정발
2R,광주,서울(H),이민기,right,정발x,두현석,right,정발x,안영규,right,정발x,티모,right,정발
3R,광주,전북(A),이민기,right,정발x,이상기,right,정발,안영규,right,정발x,티모,right,정발
4R,광주,인천(H),이민기,right,정발x,두현석,right,정발x,안영규,right,정발x,티모,right,정발
5R,광주,수원FC(H),이민기,right,정발x,두현석,right,정발x,안영규,right,정발x,티모,right,정발
6R,광주,포항(A),이민기,right,정발x,두현석,right,정발x,안영규,right,정발x,티모,right,정발
7R,광주,대구(A),이순민,,정발x,두현석,right,정발x,안영규,right,정발x,티모,right,정발
8R,광주,강원(H),이민기,right,정발x,김한길,,정발x,티모,right,정발x,아론,right,정발
9R,광주,제주(H),이민기,right,정발x,두현석,right,정발x,안영규,right,정발x,티모,right,정발
10R,광주,울산(A),김한길,,정발x,두현석,right,정발x,안영규,right,정발x,티모,right,정발
11R,광주,대전(H),김한길,,정발x,두현석,right,정발x,안영규,right,정발x,아론,right,정발
12R,광주,서울(A),김한길,,정발x,두현석,right,정발x,안영규,right,정발x,티모,right,정발
13R,광주,대구(H),이민기,right,정발x,두현석,right,정발x,티모,right,정발x,아론,right,정발
14R,광주,인천(A),이민기,right,정발x,두현석,right,정발x,안영규,right,정발x,티모,right,정발
15R,광주,수원FC(A),이민기,right,정발x,두현석,right,정발x,안영규,right,정발x,티모,right,정발
16R,광주,포항(H),이민기,right,정발x,두현석,right,정발x,안영규,right,정발x,티모,right,정발
17R,광주,수원(H),이민기,right,정발x,두현석,right,정발x,티모,right,정발x,아론,right,정발
18R,광주,대전(A),이민기,right,정발x,두현석,right,정발x,안영규,right,정발x,티모,right,정발
19R,광주,전북(H),이민기,right,정발x,두현석,right,정발x,안영규,right,정발x,티모,right,정발
20R,광주,울산(H),이민기,right,정발x,두현석,right,정발x,안영규,right,정발x,티모,right,정발
21R,광주,강원(A),이민기,right,정발x,두현석,right,정발x,티모,right,정발x,아론,right,정발
22R,광주,제주(A),이민기,right,정발x,두현석,right,정발x,안영규,right,정발x,티모,right,정발
23R,광주,대구(H),이민기,right,정발x,두현석,right,정발x,티모,right,정발x,아론,right,정발
24R,광주,수원FC(A),이민기,right,정발x,두현석,right,정발x,안영규,right,정발x,티모,right,정발
25R,광주,대전(H),이민기,right,정발x,두현석,right,정발x,안영규,right,정발x,티모,right,정발
26R,광주,포항(A),이민기,right,정발x,두현석,right,정발x,안영규,right,정발x,티모,right,정발
27R,광주,인천(A),이민기,right,정발x,두현석,right,정발x,안영규,right,정발x,아론,right,정발
28R,광주,수원(H),이민기,right,정발x,이상기,right,정발,이순민,,정발x,안영규,right,정발
29R,광주,울산(A),이민기,right,정발x,두현석,right,정발x,이순민,,정발x,안영규,right,정발
30R,광주,서울(A),두현석,right,정발x,이상기,right,정발,안영규,right,정발x,아론,right,정발
31R,광주,전북(H),두현석,right,정발x,이상기,right,정발,안영규,right,정발x,아론,right,정발
32R,광주,제주(A),두현석,right,정발x,이상기,right,정발,안영규,right,정발x,아론,right,정발
33R,광주,강원(H),두현석,right,정발x,이상기,right,정발,안영규,right,정발x,아론,right,정발
34R,광주,울산(H),이순민,,정발x,두현석,right,정발x,김승우,,정발x,아론,right,정발
35R,광주,인천(H),이순민,,정발x,김승우,,정발x,안영규,right,정발x,두현석,right,정발x
36R,광주,대구(A),두현석,right,정발x,이순민,,정발x,안영규,right,정발x,김승우,,정발x
37R,광주,전북(A),두현석,right,정발x,이상기,right,정발,안영규,right,정발x,김승우,,정발x
38R,광주,포항(H),이민기,right,정발x,,,,안영규,right,정발x,티모,right,정발
2R,수원FC,포항(H),박철우,,정발x,이용,right,정발,잭슨,left,정발x,이재성,right,정발
6R,수원FC,대전(H),정동호,right,정발x,이용,right,정발,신세계,right,정발x,이재성,right,정발
7R,수원FC,전북(H),정동호,right,정발x,이용,right,정발,신세계,right,정발x,이재성,right,정발
8R,수원FC,인천(A),정동호,right,정발x,이용,right,정발,신세계,right,정발x,이재성,right,정발
9R,수원FC,대구(H),정동호,right,정발x,이용,right,정발,신세계,right,정발x,잭슨,left,정발x
11R,수원FC,강원(H),황순민,,정발x,정동호,right,정발,잭슨,left,정발x,신세계,right,정발
12R,수원FC,대전(A),황순민,,정발x,정동호,right,정발,잭슨,left,정발x,신세계,right,정발
13R,수원FC,제주(H),황순민,,정발x,정동호,right,정발,잭슨,left,정발x,신세계,right,정발
16R,수원FC,수원(A),정동호,right,정발x,이용,right,정발,잭슨,left,정발x,김현훈,right,정발
17R,수원FC,울산(H),정동호,right,정발x,이용,right,정발,잭슨,left,정발x,김현훈,right,정발
18R,수원FC,대구(A),정동호,right,정발x,이용,right,정발,잭슨,left,정발x,김현훈,right,정발
19R,수원FC,강원(H),이용,right,정발x,박철우,,정발x,잭슨,left,정발x,김현훈,right,정발
20R,수원FC,포항(A),정동호,right,정발x,이용,right,정발,잭슨,left,정발x,신세계,right,정발
23R,수원FC,전북(A),정동호,right,정발x,이용,right,정발,신세계,right,정발x,우고고메스,right,정발
24R,수원FC,광주(H),정동호,right,정발x,이용,right,정발,우고고메스,right,정발x,신세계,right,정발
25R,수원FC,수원(A),정동호,right,정발x,박철우,,정발x,신세계,right,정발x,우고고메스,right,정발
26R,수원FC,제주(A),박철우,,정발x,정동호,right,정발,신세계,right,정발x,우고고메스,right,정발
27R,수원FC,강원(A),정동호,right,정발x,김주엽,,정발x,우고고메스,right,정발x,신세계,right,정발
28R,수원FC,인천(H),정동호,right,정발x,김주엽,,정발x,우고고메스,right,정발x,신세계,right,정발
29R,수원FC,대전(A),정동호,right,정발x,김주엽,,정발x,우고고메스,right,정발x,신세계,right,정발
30R,수원FC,포항(A),신세계,right,정발x,정동호,right,정발,우고고메스,right,정발x,오인표,,정발x
31R,수원FC,울산(H),정동호,right,정발x,신세계,right,정발,우고고메스,right,정발x,최보경,left,정발x
32R,수원FC,서울(H),박철우,,정발x,신세계,right,정발,박병현,right,정발x,최보경,left,정발x
35R,수원FC,서울(H),박철우,,정발x,이용,right,정발,우고고메스,right,정발x,신세계,right,정발
36R,수원FC,수원(H),박철우,,정발x,오인표,,정발x,우고고메스,right,정발x,신세계,right,정발
