라운드,소속,상대팀,LB 이름,LB 선호발,LB 정발 여부,RB 이름,RB 선호발,RB 정발 여부,CB1 이름,CB1 선호발,CB1 정발 여부,CB2 이름,CB2 선호발,CB2 정발 여부
37R,포항,인천(A),심상민,left,정발,김용환,,정발x,권완규,right,정발x,이광준,,정발x
38R,포항,서울(H),심상민,left,정발,김용환,,정발x,권완규,right,정발x,전민광,,정발x
1R,전북,서울(H),이주용,left,정발,이용,right,정발,김민혁,right,정발x,홍정호,right,정발
3R,전북,강원(H),최철순,right,정발x,이용,right,정발,김민혁,right,정발x,홍정호,right,정발
4R,전북,광주(A),이주용,left,정발,이용,right,정발,김민혁,right,정발x,홍정호,right,정발
5R,전북,대구(H),최철순,right,정발x,이용,right,정발,최보경,left,정발,홍정호,right,정발
6R,전북,수원FC(H),이주용,left,정발,이유현,right,정발,김민혁,right,정발x,홍정호,right,정발
7R,전북,수원(A),최철순,right,정발x,이용,right,정발,최보경,left,정발,홍정호,right,정발
8R,전북,포항(A),최철순,right,정발x,이용,right,정발,김민혁,right,정발x,홍정호,right,정발
9R,전북,인천(H),이주용,left,정발,이용,right,정발,최보경,left,정발,홍정호,right,정발
10R,전북,성남(H),최철순,right,정발x,이유현,right,정발,최보경,left,정발,홍정호,right,정발
11R,전북,울산(A),최철순,right,정발x,이용,right,정발,최보경,left,정발,홍정호,right,정발
12R,전북,강원(A),이주용,left,정발,이용,right,정발,김민혁,right,정발x,홍정호,right,정발
13R,전북,제주(H),최철순,right,정발x,이용,right,정발,최보경,left,정발,홍정호,right,정발
14R,전북,수원(H),최철순,right,정발x,이용,right,정발,,,,홍정호,right,정발
15R,전북,성남(A),최희원,,정발x,이유현,right,정발,홍정호,right,정발x,구자룡,right,정발
16R,전북,서울(A),박진성,left,정발x,최철순,right,정발,김민혁,right,정발x,홍정호,right,정발
17R,전북,울산(H),최철순,right,정발x,이용,right,정발,최보경,left,정발,홍정호,right,정발
19R,전북,인천(A),이유현,right,정발x,이용,right,정발,홍정호,right,정발x,구자룡,right,정발
20R,전북,포항(H),김진수,left,정발,이유현,right,정발,김민혁,right,정발x,홍정호,right,정발
21R,전북,광주(H),박진성,left,정발x,이용,right,정발,김민혁,right,정발x,홍정호,right,정발
22R,전북,수원FC(A),박진성,left,정발x,이용,right,정발,홍정호,right,정발x,구자룡,right,정발
23R,전북,대구(H),박진성,left,정발x,이유현,right,정발,김민혁,right,정발x,홍정호,right,정발
24R,전북,제주(A),김진수,left,정발,이용,right,정발,김민혁,right,정발x,구자룡,right,정발
25R,전북,서울(H),박진성,left,정발x,이유현,right,정발,김민혁,right,정발x,홍정호,right,정발
26R,전북,성남(A),박진성,left,정발x,이용,right,정발,홍정호,right,정발x,구자룡,right,정발
27R,전북,포항(H),최철순,right,정발x,이유현,right,정발,김민혁,right,정발x,홍정호,right,정발
28R,전북,수원FC(H),김진수,left,정발,이용,right,정발,김민혁,right,정발x,홍정호,right,정발
29R,전북,울산(A),김진수,left,정발,최철순,right,정발,김민혁,right,정발x,홍정호,right,정발
30R,전북,수원(H),김진수,left,정발,최철순,right,정발,김민혁,right,정발x,홍정호,right,정발
31R,전북,광주(A),김진수,left,정발,이용,right,정발,김민혁,right,정발x,구자룡,right,정발
32R,전북,인천(H),김진수,left,정발,최철순,right,정발,김민혁,right,정발x,홍정호,right,정발
33R,전북,강원(A),김진수,left,정발,이용,right,정발,김민혁,right,정발x,홍정호,right,정발
34R,전북,수원(A),김진수,left,정발,이용,right,정발,김민혁,right,정발x,홍정호,right,정발
35R,전북,울산(H),김진수,left,정발,이용,right,정발,홍정호,right,정발x,구자룡,right,정발
36R,전북,수원FC(A),김진수,left,정발,이유현,right,정발,홍정호,right,정발x,구자룡,right,정발
37R,전북,대구(A),김진수,left,정발,이용,right,정발,홍정호,right,정발x,구자룡,right,정발
38R,전북,제주(H),최철순,right,정발x,이용,right,정발,홍정호,right,정발x,구자룡,right,정발
24R,성남,울산(H),최지묵,left,정발,이태희,right,정발,권경원,left,정발,마상훈,right,정발
34R,성남,포항(H),최지묵,left,정발,이시영,,정발x,권경원,left,정발,마상훈,right,정발
35R,성남,인천(H),최지묵,left,정발,이시영,,정발x,권경원,left,정발,이창용,right,정발x
36R,성남,서울(A),최지묵,left,정발,마상훈,right,정발,권경원,left,정발,이창용,right,정발x
37R,성남,광주(H),최지묵,left,정발,이시영,,정발x,권경원,left,정발,마상훈,right,정발
38R,성남,강원(A),최지묵,left,정발,이시영,,정발x,권경원,left,정발,마상훈,right,정발
1R,서울,전북(A),고광민,right,정발x,윤종규,right,정발,김원균,right,정발x,황현수,right,정발
2R,서울,수원FC(H),고광민,right,정발x,윤종규,right,정발,김원균,right,정발x,황현수,right,정발
3R,서울,성남(A),고광민,right,정발x,김진야,right,정발,김원균,right,정발x,황현수,right,정발
4R,서울,인천(A),고광민,right,정발x,윤종규,right,정발,김원균,right,정발x,황현수,right,정발
5R,서울,광주(H),고광민,right,정발x,김진야,right,정발,김원균,right,정발x,황현수,right,정발
6R,서울,수원(A),고광민,right,정발x,윤종규,right,정발,김원균,right,정발x,황현수,right,정발
7R,서울,강원(H),고광민,right,정발x,윤종규,right,정발,김원균,right,정발x,황현수,right,정발
8R,서울,울산(A),이태석,left,정발,윤종규,right,정발,홍준호,,정발x,황현수,right,정발
9R,서울,포항(H),고광민,right,정발x,김진야,right,정발,홍준호,,정발x,황현수,right,정발
10R,서울,대구(H),고광민,right,정발x,윤종규,right,정발,홍준호,,정발x,황현수,right,정발
11R,서울,제주(A),윤종규,right,정발x,이한범,right,정발,김원균,right,정발x,황현수,right,정발
12R,서울,수원FC(A),이태석,left,정발,윤종규,right,정발,김원균,right,정발x,황현수,right,정발
13R,서울,성남(H),이태석,left,정발,윤종규,right,정발,오스마르,left,정발,홍준호,,정발x
16R,서울,전북(H),이태석,left,정발,윤종규,right,정발,오스마르,left,정발,이한범,right,정발
18R,서울,강원(A),이태석,left,정발,윤종규,right,정발,차오연,left,정발,홍준호,,정발x
19R,서울,수원(H),이태석,left,정발,윤종규,right,정발,홍준호,,정발x,황현수,right,정발
20R,서울,제주(H),김진야,right,정발x,고요한,,정발x,오스마르,left,정발,황현수,right,정발
21R,서울,포항(A),고광민,right,정발x,윤종규,right,정발,김원균,right,정발x,황현수,right,정발
23R,서울,광주(H),고광민,right,정발x,윤종규,right,정발,오스마르,left,정발,김원균,right,정발
24R,서울,강원(A),이태석,left,정발,윤종규,right,정발,오스마르,left,정발,강상희,,정발x
26R,서울,포항(H),고광민,right,정발x,김진야,right,정발,오스마르,left,정발,채프만,,정발x
28R,서울,제주(A),고광민,right,정발x,김진야,right,정발,,,,채프만,,정발x
29R,서울,성남(A),이태석,left,정발,윤종규,right,정발,오스마르,left,정발,이한범,right,정발
30R,서울,수원FC(H),이태석,left,정발,윤종규,right,정발,오스마르,left,정발,이한범,right,정발
31R,서울,인천(H),이태석,left,정발,윤종규,right,정발,오스마르,left,정발,이한범,right,정발
32R,서울,수원(A),이태석,left,정발,윤종규,right,정발,오스마르,left,정발,이한범,right,정발
33R,서울,대구(H),이태석,left,정발,윤종규,right,정발,오스마르,left,정발,강상희,,정발x
34R,서울,인천(A),이태석,left,정발,윤종규,right,정발,오스마르,left,정발,강상희,,정발x
35R,서울,광주(A),이태석,left,정발,윤종규,right,정발,오스마르,left,정발,강상희,,정발x
36R,서울,성남(H),이태석,left,정발,윤종규,right,정발,오스마르,left,정발,강상희,,정발x
37R,서울,강원(H),이태석,left,정발,윤종규,right,정발,오스마르,left,정발,김원균,right,정발
38R,서울,포항(A),김진야,right,정발x,윤종규,right,정발,오스마르,left,정발,김원균,right,정발
2R,인천,대구(H),오재석,right,정발x,김준엽,,정발x,김광석,right,정발x,오반석,right,정발
3R,인천,울산(A),오재석,right,정발x,김준엽,,정발x,김광석,right,정발x,델브리지,left,정발x
4R,인천,서울(H),오재석,right,정발x,김준엽,,정발x,김광석,right,정발x,오반석,right,정발
5R,인천,수원FC(H),오재석,right,정발x,김준엽,,정발x,김광석,right,정발x,오반석,right,정발
7R,인천,광주(A),오재석,right,정발x,김준엽,,정발x,김광석,right,정발x,오반석,right,정발
8R,인천,수원(H),오재석,right,정발x,김준엽,,정발x,김광석,right,정발x,오반석,right,정발
9R,인천,전북(A),정동윤,right,정발x,김준엽,,정발x,김광석,right,정발x,오반석,right,정발
24R,강원,서울(H),츠베타노프,left,정발,임창우,right,정발,김영빈,right,정발x,임채민,,정발x
26R,강원,인천(A),츠베타노프,left,정발,임창우,right,정발,김영빈,right,정발x,임채민,,정발x
27R,강원,제주(H),츠베타노프,left,정발,임창우,right,정발,김영빈,right,정발x,임채민,,정발x
28R,강원,광주(H),츠베타노프,left,정발,임창우,right,정발,김영빈,right,정발x,임채민,,정발x
31R,강원,수원(A),츠베타노프,left,정발,신세계,right,정발,김영빈,right,정발x,임채민,,정발x
33R,강원,전북(H),송준석,left,정발,김영빈,right,정발x,아슐마토프,right,정발x,임채민,,정발x
34R,강원,광주(A),츠베타노프,left,정발,임창우,right,정발,김영빈,right,정발x,임채민,,정발x
36R,강원,인천(H),츠베타노프,left,정발,신세계,right,정발,김영빈,right,정발x,임채민,,정발x
1R,광주,수원(A),이민기,right,정발x,여봉훈,right,정발,이한도,right,정발x,한희훈,right,정발
2R,광주,울산(H),이민기,right,정발x,여봉훈,right,정발,이한도,right,정발x,한희훈,right,정발
3R,광주,대구(A),이민기,right,정발x,이지훈,right,정발x,이한도,right,정발x,한희훈,right,정발
4R,광주,전북(H),이민기,right,정발x,이지훈,right,정발x,이한도,right,정발x,한희훈,right,정발
5R,광주,서울(A),이민기,right,정발x,이지훈,right,정발x,이한도,right,정발x,한희훈,right,정발
6R,광주,제주(A),이으뜸,left,정발,이지훈,right,정발x,이한도,right,정발x,한희훈,right,정발
7R,광주,인천(H),이민기,right,정발x,이지훈,right,정발x,이한샘,right,정발x,알렉스,right,정발
8R,광주,수원FC(H),이민기,right,정발x,이지훈,right,정발x,이한샘,right,정발x,알렉스,right,정발
9R,광주,성남(A),이민기,right,정발x,이지훈,right,정발x,이한샘,right,정발x,알렉스,right,정발
10R,광주,포항(H),이민기,right,정발x,이지훈,right,정발x,이한도,right,정발x,알렉스,right,정발
11R,광주,강원(A),이민기,right,정발x,이지훈,right,정발x,이한도,right,정발x,알렉스,right,정발
12R,광주,대구(H),이민기,right,정발x,이지훈,right,정발x,이한도,right,정발x,알렉스,right,정발
13R,광주,울산(A),이민기,right,정발x,이지훈,right,정발x,이한도,right,정발x,알렉스,right,정발
14R,광주,서울(H),이으뜸,left,정발,이민기,right,정발x,이한도,right,정발x,곽광선,right,정발
15R,광주,수원FC(A),이민기,right,정발x,이지훈,right,정발x,이한도,right,정발x,알렉스,right,정발
16R,광주,인천(A),이민기,right,정발x,이지훈,right,정발x,이한도,right,정발x,알렉스,right,정발
17R,광주,제주(H),이민기,right,정발x,이지훈,right,정발x,이한도,right,정발x,한희훈,right,정발
18R,광주,수원(H),이민기,right,정발x,이지훈,right,정발x,이한도,right,정발x,한희훈,right,정발
19R,광주,포항(A),이으뜸,left,정발,이지훈,right,정발x,이한도,right,정발x,곽광선,right,정발
20R,광주,강원(H),이으뜸,left,정발,이지훈,right,정발x,이한도,right,정발x,알렉스,right,정발
21R,광주,전북(A),이민기,right,정발x,이지훈,right,정발x,이한도,right,정발x,알렉스,right,정발
22R,광주,성남(H),이으뜸,left,정발,이지훈,right,정발x,이한도,right,정발x,알렉스,right,정발
23R,광주,서울(A),이으뜸,left,정발,이지훈,right,정발x,이한도,right,정발x,알렉스,right,정발
24R,광주,수원FC(A),이으뜸,left,정발,여봉훈,right,정발,곽광선,right,정발x,알렉스,right,정발
25R,광주,인천(H),이으뜸,left,정발,이지훈,right,정발x,이한도,right,정발x,알렉스,right,정발
26R,광주,대구(A),이으뜸,left,정발,이지훈,right,정발x,이한도,right,정발x,알렉스,right,정발
27R,광주,성남(H),이으뜸,left,정발,이지훈,right,정발x,이한도,right,정발x,알렉스,right,정발
28R,광주,강원(A),이민기,right,정발x,이지훈,right,정발x,한희훈,right,정발x,알렉스,right,정발
29R,광주,수원(A),이으뜸,left,정발,이지훈,right,정발x,이한도,right,정발x,알렉스,right,정발
30R,광주,제주(H),이으뜸,left,정발,이지훈,right,정발x,이한도,right,정발x,알렉스,right,정발
31R,광주,전북(H),이으뜸,left,정발,이지훈,right,정발x,이한도,right,정발x,알렉스,right,정발
32R,광주,울산(A),이민기,right,정발x,이지훈,right,정발x,김봉진,right,정발x,알렉스,right,정발
33R,광주,포항(H),이민기,right,정발x,이지훈,right,정발x,이한도,right,정발x,알렉스,right,정발
34R,광주,강원(H),이으뜸,left,정발,여봉훈,right,정발,곽광선,right,정발x,알렉스,right,정발
35R,광주,서울(H),이으뜸,left,정발,여봉훈,right,정발,곽광선,right,정발x,알렉스,right,정발
36R,광주,포항(A),이민기,right,정발x,여봉훈,right,정발,이한도,right,정발x,알렉스,right,정발
37R,광주,성남(A),이지훈,right,정발x,여봉훈,right,정발,이한도,right,정발x,알렉스,right,정발
38R,광주,인천(H),이민기,right,정발x,여봉훈,right,정발,이한도,right,정발x,알렉스,right,정발
1R,수원FC,대구(A),박주호,left,정발,정동호,right,정발,김건웅,,정발x,윤영선,right,정발
2R,수원FC,서울(A),박주호,left,정발,정동호,right,정발,김건웅,,정발x,윤영선,right,정발
3R,수원FC,수원(H),김상원,,정발x,정동호,right,정발,조유민,right,정발x,윤영선,right,정발
4R,수원FC,성남(H),박주호,left,정발,정동호,right,정발,조유민,right,정발x,박지수,both,정발x
5R,수원FC,인천(A),김상원,,정발x,정동호,right,정발,윤영선,right,정발x,박지수,both,정발x
6R,수원FC,전북(A),김상원,,정발x,정동호,right,정발,조유민,right,정발x,박지수,both,정발x
7R,수원FC,제주(H),김상원,,정발x,정동호,right,정발,조유민,right,정발x,박지수,both,정발x
9R,수원FC,울산(H),김상원,,정발x,장준영,right,정발x,조유민,right,정발x,박지수,both,정발x
10R,수원FC,강원(H),김상원,,정발x,정동호,right,정발,조유민,right,정발x,박지수,both,정발x
11R,수원FC,포항(A),김상원,,정발x,정동호,right,정발,조유민,right,정발x,박지수,both,정발x
12R,수원FC,서울(H),김상원,,정발x,장준영,right,정발x,조유민,right,정발x,박지수,both,정발x
13R,수원FC,대구(H),김상원,,정발x,정동호,right,정발,조유민,right,정발x,박지수,both,정발x
